FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID
,S4A01593_20160506_195404.wav,0,2476.32,1.125,3281,3694,4406,5/6/2016,35:20.3,20,5/6/2016,35:20.3,8,non focal,0.201585,focal mix,0.201585,CLRA grunt,0.201585,1,non focal
,S4A01593_20160506_195404.wav,0,3175.12,6.736,3563,4053,4688,5/6/2016,46:59.1,20,5/6/2016,46:59.1,8,non focal,0.202438,non focal,0.78784,non focal,0.853151,1,non focal
,S4A01593_20160506_195404.wav,0,2157.141,0.267,3000,4051,4406,5/6/2016,30:01.1,20,5/6/2016,30:01.1,8,non focal,0.204789,SESP,0.204789,SORA,0.204789,1,non focal
,S4A01593_20160506_195404.wav,0,1867.344,0.448,4125,5028,5438,5/6/2016,25:11.3,20,5/6/2016,25:11.3,8,non focal,0.205123,SESP,0.205123,non focal,0.669181,1,non focal
,S4A01593_20160506_195404.wav,1,841.829,0.203,2531,4285,10031,5/6/2016,08:05.8,20,5/6/2016,08:05.8,8,non focal,0.206936,BLRA,0.206936,VIRA grunt,0.206936,1,non focal
,S4A01593_20160506_195404.wav,0,2480.469,3.157,1969,3631,5719,5/6/2016,35:24.5,20,5/6/2016,35:24.5,8,non focal,0.208109,focal mix,0.208109,CLRA grunt,0.208109,1,non focal
,S4A01593_20160506_195404.wav,0,2473.184,0.939,3281,3686,4500,5/6/2016,35:17.2,20,5/6/2016,35:17.2,8,non focal,0.211442,focal mix,0.211442,CLRA grunt,0.211442,1,non focal
,S4A01593_20160506_195404.wav,1,2080.917,0.288,4031,4172,4406,5/6/2016,28:44.9,20,5/6/2016,28:44.9,8,non focal,0.212174,SESP,0.212174,SORA,0.212174,1,non focal
,S4A01593_20160506_195404.wav,0,3214.629,2.059,3844,4035,4594,5/6/2016,47:38.6,20,5/6/2016,47:38.6,8,non focal,0.216024,non focal,0.763928,non focal,0.779212,1,non focal
,S4A01593_20160506_195404.wav,0,3217.28,1.008,3844,4046,4688,5/6/2016,47:41.3,20,5/6/2016,47:41.3,8,non focal,0.220945,non focal,0.729407,non focal,0.805284,1,non focal
,S4A01593_20160506_195404.wav,1,1818.965,1.323,2531,3038,3375,5/6/2016,24:23.0,20,5/6/2016,24:23.0,8,non focal,0.221244,BLRA,0.221244,SESP,0.221244,1,non focal
